Date,Open,High,Low,Close,Adj Close,Volume
2022-06-30,65.500000,67.250000,64.440002,66.150002,65.363815,1633600
2022-07-01,65.290001,67.199997,64.160004,66.230003,65.442871,1591400
2022-07-05,63.930000,64.529999,62.779999,64.500000,63.733418,1755900
2022-07-06,63.880001,64.830002,62.439999,64.410004,63.644501,1557400
2022-07-07,67.089996,67.529999,65.540001,66.580002,65.788704,1983300
2022-07-08,67.309998,67.309998,65.260002,66.160004,65.373703,1148500
2022-07-11,65.440002,67.300003,65.110001,65.889999,65.106895,1197000
2022-07-12,65.480003,67.669998,65.349998,65.699997,64.919159,1499900
2022-07-13,65.570000,67.449997,64.779999,67.260002,66.460625,1405400
2022-07-14,64.900002,66.080002,63.820000,65.930000,65.146423,1316600
2022-07-15,66.459999,67.080002,65.230003,67.059998,66.262985,1032200
2022-07-18,68.150002,69.330002,67.349998,67.709999,66.905273,1136300
2022-07-19,65.570000,66.889999,64.230003,66.620003,65.828232,2908800
2022-07-20,67.220001,68.120003,66.070000,68.099998,67.290634,2683500
2022-07-21,68.940002,70.779999,68.250000,70.730003,69.889381,3149900
2022-07-22,71.139999,71.940002,65.889999,66.599998,65.808472,2375900
2022-07-25,67.989998,70.169998,67.410004,70.000000,69.168060,1962300
2022-07-26,70.010002,70.839996,69.089996,70.480003,69.642357,1703300
2022-07-27,70.879997,73.379997,69.480003,72.830002,71.964424,2010000
2022-07-28,73.239998,74.800003,72.080002,74.169998,73.288490,1940400
2022-07-29,74.879997,78.070000,74.510002,77.879997,76.954391,1746100
2022-08-01,77.029999,78.290001,75.669998,77.379997,76.460342,1252900
2022-08-02,76.669998,78.129997,74.589996,76.550003,75.640213,1996500
2022-08-03,76.370003,77.279999,75.300003,76.360001,75.452461,1435800
2022-08-04,76.709999,78.599998,75.230003,77.480003,76.559158,1627100
2022-08-05,76.320000,79.820000,75.860001,78.779999,77.843704,1025500
2022-08-08,79.300003,80.769997,78.410004,78.750000,77.814064,1271200
2022-08-09,78.809998,81.279999,78.389999,81.139999,80.175659,1653400
2022-08-10,82.220001,83.250000,81.250000,83.010002,82.023438,1329400
2022-08-11,83.739998,85.940002,83.370003,83.489998,82.497726,1363300
2022-08-12,83.389999,85.059998,82.769997,84.610001,83.604416,1100000
2022-08-15,83.459999,83.919998,81.430000,83.550003,82.557022,1373400
2022-08-16,84.349998,85.389999,83.900002,84.650002,83.643944,1178900
2022-08-17,82.739998,83.809998,82.070000,83.040001,82.053078,1221400
2022-08-18,84.129997,85.050003,84.089996,84.430000,83.426552,1031700
2022-08-19,83.260002,83.260002,81.050003,81.800003,80.827812,1471000
2022-08-22,80.400002,81.360001,79.889999,80.250000,79.296234,1208500
2022-08-23,81.110001,82.830002,80.739998,81.029999,80.066963,1157600
2022-08-24,80.220001,82.000000,79.110001,81.389999,80.422684,1133300
2022-08-25,82.160004,86.930000,82.160004,86.760002,85.728867,3186100
2022-08-26,87.029999,88.620003,85.540001,86.870003,85.837555,2524800
2022-08-29,85.919998,87.589996,84.709999,86.239998,85.215050,1510700
2022-08-30,85.849998,85.849998,80.599998,81.419998,80.452324,2220800
2022-08-31,81.029999,81.680000,79.480003,80.720001,79.760651,2358900
2022-09-01,78.809998,78.809998,75.139999,77.339996,76.420815,2262800
2022-09-02,78.980003,80.150002,77.790001,77.940002,77.013687,1568900
2022-09-06,78.199997,80.029999,77.769997,79.360001,78.416817,1427600
2022-09-07,78.800003,80.040001,77.599998,79.699997,78.752769,1113000
2022-09-08,79.639999,83.120003,79.199997,82.989998,82.003662,1456800
2022-09-09,84.430000,86.949997,84.160004,86.519997,85.491714,1665400
2022-09-12,86.599998,87.290001,83.220001,83.489998,82.497726,1668800
2022-09-13,81.400002,83.279999,80.790001,81.910004,80.936508,2175000
2022-09-14,79.480003,79.639999,73.400002,74.550003,73.663986,3194100
2022-09-15,77.809998,77.860001,75.070000,76.230003,75.324013,2786300
2022-09-16,75.330002,75.870003,74.230003,75.019997,74.128387,4150800
2022-09-19,74.349998,77.430000,73.730003,77.190002,76.272606,1466700
2022-09-20,75.339996,76.089996,74.790001,75.849998,74.948532,1511700
2022-09-21,76.930000,77.570000,74.199997,74.199997,73.318138,1226200
2022-09-22,75.169998,75.910004,72.300003,72.559998,71.697632,1259100
2022-09-23,70.330002,70.959999,69.120003,70.190002,69.355797,1908600
